table,column,dtype,description
content,Date,object,
content,Content,object,
content,Video title,object,
content,Video publish time,object,
content,Duration,int64,
content,Views from playlist,int64,
content,source,object,
traffic,Date,object,
traffic,Traffic source,object,
traffic,Views,int64,
traffic,traffic_source,object,
geography,Date,object,
geography,Geography,object,
geography,Views,int64,
geography,source,object,
subscriptions,Date,object,
subscriptions,Subscription status,object,
subscriptions,Views,int64,
subscriptions,source,object,
dates,date,object,
dates,Views,float64,
dates,Watch time (hours),float64,
dates,Average view duration,object,
dates,Average percentage viewed (%),float64,
dates,Impressions click-through rate (%),float64,
dates,Unique viewers,int64,
dates,Playlist saves,float64,
dates,source,object,
